mondo id,chembl id,has hit
MONDO:0007576,CHEMBL185,True
MONDO:0007576,CHEMBL449158,False
MONDO:0007576,CHEMBL500853,False
MONDO:0007576,CHEMBL1743051,False
MONDO:0001221,CHEMBL3989529,True
MONDO:0001221,,False
MONDO:0012817,CHEMBL1743024,True
MONDO:0010526,CHEMBL1029,True
MONDO:0010526,CHEMBL1086997,True
,CHEMBL4297869,False
MONDO:0021055,CHEMBL830,True
MONDO:0021055,CHEMBL1201303,True
MONDO:0021055,CHEMBL15770,True
MONDO:0021055,CHEMBL460026,True
MONDO:0000995,CHEMBL17,False
MONDO:0004668,CHEMBL1086440,True
MONDO:0007606,CHEMBL2105648,True
MONDO:0007606,,False
MONDO:0010383,CHEMBL312443,True
MONDO:0010383,CHEMBL3087515,True
MONDO:0010383,,False
MONDO:0010383,CHEMBL3301626,True
MONDO:0010383,CHEMBL266510,True
MONDO:0010383,CHEMBL1568698,True
MONDO:0010383,CHEMBL190461,True
MONDO:0010383,CHEMBL1201293,True
MONDO:0010383,CHEMBL1697733,True
MONDO:0010383,,False
MONDO:0010383,CHEMBL2387742,False
MONDO:0010383,CHEMBL109,True
MONDO:0010383,CHEMBL449158,False
MONDO:0010383,,False
MONDO:0007753,,False
MONDO:0009245,CHEMBL2107832,False
MONDO:0009245,CHEMBL4303525,False
MONDO:0009245,CHEMBL2107333,False
MONDO:0009245,CHEMBL70927,False
MONDO:0009245,CHEMBL252556,False
MONDO:0009245,,False
MONDO:0009245,CHEMBL454801,False
MONDO:0009245,,False
MONDO:0009245,,False
MONDO:0018944,CHEMBL1201225,False
MONDO:0021042,CHEMBL1201583,True
MONDO:0021042,CHEMBL444711,False
MONDO:0021042,CHEMBL429876,True
MONDO:0021042,CHEMBL2146086,False
MONDO:0021042,CHEMBL2105643,False
MONDO:0021042,CHEMBL359744,False
MONDO:0021042,CHEMBL830,True
MONDO:0021042,CHEMBL3989958,True
MONDO:0021042,CHEMBL27,True
MONDO:0021042,CHEMBL61872,True
MONDO:0021042,CHEMBL810,True
MONDO:0021042,CHEMBL190461,True
MONDO:0021042,CHEMBL1746,False
MONDO:0021042,CHEMBL1607,True
MONDO:0021042,CHEMBL283120,False
MONDO:0021042,CHEMBL1980825,True
MONDO:0021042,CHEMBL289559,False
MONDO:0021042,CHEMBL371405,True
MONDO:0021042,CHEMBL4279047,True
MONDO:0021042,,False
MONDO:0021042,CHEMBL166937,True
MONDO:0021042,,False
MONDO:0021042,,False
MONDO:0021042,,False
MONDO:0021042,CHEMBL3297898,False
MONDO:0021042,CHEMBL254468,False
MONDO:0021042,CHEMBL2108531,False
MONDO:0021042,,False
MONDO:0021042,CHEMBL4298122,True
MONDO:0021042,CHEMBL2108359,True
MONDO:0021042,,False
MONDO:0021042,,False
MONDO:0021042,,False
MONDO:0021042,CHEMBL2108060,False
MONDO:0021042,,False
MONDO:0021042,,False
MONDO:0021042,CHEMBL2108045,False
MONDO:0021042,CHEMBL2108583,True
MONDO:0016683,CHEMBL4297310,False
MONDO:0016683,CHEMBL52609,False
MONDO:0016683,CHEMBL550961,False
MONDO:0016683,CHEMBL2103796,False
MONDO:0005363,CHEMBL539423,True
MONDO:0005363,CHEMBL4650229,False
MONDO:0005363,CHEMBL1743022,True
MONDO:0020546,CHEMBL1201605,True
MONDO:0020546,CHEMBL160,True
MONDO:0020546,CHEMBL4297549,False
MONDO:0020546,CHEMBL4297879,False
MONDO:0020546,CHEMBL4297861,False
MONDO:0020546,CHEMBL4297981,False
MONDO:0020546,CHEMBL2109193,False
,CHEMBL1201621,False
,CHEMBL1201490,False
,CHEMBL105462,False
,CHEMBL2105872,False
,CHEMBL844,False
,,False
,CHEMBL2108862,False
,CHEMBL2108651,False
,,False
MONDO:0016218,CHEMBL284348,True
MONDO:0016218,,False
MONDO:0008218,CHEMBL441738,True
MONDO:0018935,CHEMBL1742992,False
MONDO:0018935,CHEMBL1619,True
MONDO:0009319,CHEMBL4297615,False
MONDO:0023305,CHEMBL556,True
MONDO:0004664,,False
MONDO:0001549,CHEMBL1201828,True
MONDO:0001549,CHEMBL3989986,False
MONDO:0010602,,False
MONDO:0010602,CHEMBL4297945,True
MONDO:0010602,CHEMBL4297953,True
MONDO:0010602,CHEMBL4297873,True
MONDO:0010602,CHEMBL4297609,False
MONDO:0010602,CHEMBL4297730,True
MONDO:0010602,,False
MONDO:0010602,,False
MONDO:0010602,CHEMBL4297869,True
MONDO:0010602,CHEMBL2108574,False
MONDO:0043240,CHEMBL122,False
MONDO:0005029,CHEMBL760,True
MONDO:0005029,CHEMBL1201558,False
MONDO:0001382,,False
MONDO:0019180,CHEMBL1201583,True
MONDO:0012521,CHEMBL184,True
MONDO:0010674,CHEMBL1201279,False
MONDO:0010674,CHEMBL4297988,True
MONDO:0010674,CHEMBL1201826,True
MONDO:0007739,CHEMBL519344,True
MONDO:0007739,CHEMBL499915,False
MONDO:0007739,CHEMBL589390,True
MONDO:0007739,CHEMBL2103814,False
MONDO:0007739,CHEMBL420311,True
MONDO:0007739,CHEMBL104,True
MONDO:0007739,CHEMBL2095209,True
MONDO:0007739,CHEMBL602,True
MONDO:0007739,,False
MONDO:0007739,,False
MONDO:0007739,CHEMBL2103738,False
MONDO:0007739,CHEMBL454801,True
MONDO:0007762,CHEMBL2105804,False
MONDO:0001220,CHEMBL2108078,True
MONDO:0001220,,False
MONDO:0018570,CHEMBL2108311,True
MONDO:0008346,CHEMBL4297869,False
MONDO:0002048,CHEMBL4297832,False
MONDO:0002048,CHEMBL2107859,False
MONDO:0019092,CHEMBL113,True
MONDO:0019209,,False
MONDO:0019209,,False
MONDO:0016512,CHEMBL3775474,False
